Z	DtaMerge_base	DtaMerge_1ft	DtaMerge_2ft	DtaMerge_3ft	DtaMerge_4ft	DtaMerge_5ft	DtaMerge_6ft
1	0.11180470	0.10270632	0.08700853	0.06652430	0.07651495	0.02543516	0.00000000
2	0.10204337	0.09922999	0.08609871	0.06504784	0.08062182	0.03069625	0.00000000
3	0.08921302	0.08165019	0.07369499	0.06679153	0.06553129	0.02722213	0.00111085
4	0.09726329	0.09016848	0.08184118	0.07473492	0.06769973	0.02784740	0.00134450
5	0.10503845	0.09719752	0.08833462	0.08108888	0.06116984	0.00000000	0.00000000
6	0.12028664	0.11240764	0.10112849	0.09404959	0.06371009	0.00000000	0.00000000
7	0.00233065	0.00063761	0.00025404	0.00024873	0.00020877	0.00000000	0.00000000
8	0.12405113	0.11335349	0.09956397	0.09325230	0.08066755	0.04775982	0.03246158
9	0.12545670	0.11052185	0.09496083	0.09348357	0.08486838	0.04097117	0.00000000
10	0.12204007	0.10718393	0.09007395	0.09267810	0.08554109	0.03549248	0.00000000
11	0.08461293	0.07457688	0.06636607	0.06392270	0.05216655	0.02357170	0.01948551
12	0.08934426	0.07737655	0.06838459	0.09191089	0.05515407	0.02953861	0.01752442
13	0.11124516	0.10021438	0.07955264	0.06587798	0.05746848	0.00000000	0.00000000
14	0.10954361	0.09350413	0.08339657	0.07179611	0.07551551	0.04062821	0.02566996
15	0.11723075	0.10486079	0.08835495	0.07396738	0.07799094	0.04380120	0.03069324
16	0.11422488	0.10378945	0.08914339	0.08232110	0.08489740	0.04601727	0.03411861
17	0.13611033	0.12866877	0.11688471	0.10969436	0.10102564	0.04181148	0.00000000
18	0.14627994	0.13687258	0.12440332	0.11342104	0.10669638	0.05971310	0.04656665
19	0.11147082	0.09786834	0.08537942	0.07277541	0.07066227	0.04404804	0.03174709
20	0.12442706	0.11410336	0.10214590	0.09157931	0.08719015	0.05061779	0.03845368
21	0.12527660	0.11460150	0.10267089	0.09139166	0.08729054	0.05075250	0.03852630
22	0.12544238	0.11489008	0.10369985	0.09234207	0.08805200	0.05201444	0.04007929
23	0.13901246	0.12747525	0.11449858	0.10370799	0.10012007	0.06379616	0.05134215
