Z	transit_base	transit_1ft	transit_2ft	transit_3ft	transit_4ft	transit_5ft	transit_6ft
1	0.01007824	0.00956307	0.00911780	0.00857926	0.00721421	0.00026847	0.00000000
2	0.01591133	0.01498457	0.01446789	0.01363341	0.01149476	0.00032052	0.00000000
3	0.00899629	0.00829763	0.00810297	0.00755092	0.00652879	0.00045361	0.00000000
4	0.00850103	0.00791990	0.00768750	0.00712282	0.00602330	0.00038719	0.00000000
5	0.00638219	0.00602896	0.00583252	0.00545167	0.00323429	0.00000000	0.00000000
6	0.00877963	0.00830694	0.00797091	0.00739407	0.00187881	0.00000000	0.00000000
7	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
8	0.00911660	0.00816628	0.00756235	0.00716082	0.00558873	0.00233506	0.00056453
9	0.01049715	0.00915720	0.00793086	0.00684166	0.00532955	0.00111939	0.00000000
10	0.00879961	0.00776816	0.00704040	0.00623587	0.00501730	0.00050045	0.00000000
11	0.00786746	0.00736651	0.00684306	0.00641193	0.00501422	0.00138813	0.00125768
12	0.00875671	0.00803068	0.00751189	0.00706279	0.00526596	0.00113310	0.00000000
13	0.00910296	0.00829953	0.00771710	0.00426546	0.00000000	0.00000000	0.00000000
14	0.00847168	0.00766750	0.00727054	0.00688556	0.00526798	0.00267241	0.00184135
15	0.00848696	0.00771950	0.00703967	0.00679231	0.00599036	0.00315953	0.00261257
16	0.01833636	0.01740434	0.01690072	0.01597130	0.01353365	0.00278084	0.00243677
17	0.01522455	0.01445668	0.01402223	0.01326387	0.01131387	0.00067961	0.00000000
18	0.01199776	0.01134964	0.01102846	0.01037266	0.00854663	0.00331459	0.00281731
19	0.00856915	0.00805183	0.00757908	0.00719850	0.00617712	0.00334313	0.00287310
20	0.01151205	0.01088487	0.01057856	0.00991924	0.00813407	0.00356848	0.00320665
21	0.01169273	0.01109381	0.01079514	0.00995236	0.00842029	0.00426768	0.00355199
22	0.02095443	0.01990442	0.01939298	0.01826292	0.01579828	0.00736305	0.00597936
23	0.01739702	0.01631844	0.01568607	0.01423108	0.01220831	0.00605473	0.00515606
24	0.01306099	0.01235453	0.01195629	0.01125287	0.00866223	0.00076842	0.00000000
25	0.01470603	0.01393165	0.01354586	0.01274540	0.00803420	0.00000000	0.00000000
26	0.01369942	0.01297683	0.01256894	0.01184171	0.01004332	0.00477849	0.00385283
27	0.00943674	0.00889693	0.00855978	0.00799151	0.00770324	0.00364788	0.00296187
28	0.01649843	0.01563438	0.01507031	0.01402759	0.01204117	0.00537141	0.00442870
29	0.01495089	0.01418089	0.01362616	0.01259093	0.01075986	0.00487572	0.00406902
30	0.01478687	0.01397724	0.01354187	0.01273499	0.01047653	0.00521029	0.00436652
31	0.01361893	0.01290046	0.01239050	0.01151627	0.00992209	0.00532527	0.00446831
32	0.01165299	0.01072523	0.01028078	0.00977040	0.00717163	0.00408721	0.00433402
33	0.01806538	0.01722710	0.01689109	0.01527354	0.01320153	0.00681443	0.00548698
34	0.00980985	0.00883566	0.00831695	0.00773776	0.00630042	0.00285843	0.00228197
35	0.01500725	0.01407160	0.01358443	0.01266477	0.01073695	0.00582979	0.00483083
36	0.01335775	0.01249813	0.01200312	0.01117711	0.00945714	0.00498690	0.00407795
37	0.01906977	0.01790220	0.01726771	0.01608525	0.01365458	0.00732658	0.00602301
38	0.01425578	0.01342769	0.01291948	0.01197262	0.01059103	0.00414194	0.00167115
39	0.01396483	0.01318122	0.01272554	0.01184377	0.01026295	0.00257813	0.00000000
40	0.01527454	0.01427373	0.01389468	0.01287300	0.01117582	0.00439277	0.00181907
41	0.01586793	0.01502773	0.01461226	0.01375412	0.01194274	0.00445452	0.00000000
42	0.01760836	0.01671781	0.01636444	0.01530802	0.01331794	0.00505414	0.00160656
43	0.00721651	0.00624962	0.00351841	0.00000000	0.00000000	0.00000000	0.00000000
44	0.00817145	0.00546302	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
45	0.00687596	0.00649436	0.00533198	0.00495524	0.00186285	0.00000000	0.00000000
46	0.01508460	0.01425103	0.01372976	0.01249541	0.01094921	0.00357316	0.00012833
47	0.01217795	0.01155073	0.01106604	0.01010853	0.00884139	0.00232112	0.00017693
48	0.00882455	0.00846915	0.00812435	0.00737272	0.00394197	0.00000000	0.00000000
49	0.00878120	0.00804995	0.00770785	0.00624172	0.00535257	0.00164543	0.00000000
50	0.01616323	0.01531321	0.01475436	0.01387206	0.01156567	0.00238832	0.00010707
51	0.01641956	0.01558980	0.01499416	0.01379014	0.01191245	0.00226717	0.00000000
52	0.01758764	0.01671118	0.01610987	0.01482130	0.01307181	0.00506164	0.00019624
53	0.01246545	0.01181371	0.01132192	0.01055866	0.00910227	0.00262801	0.00009853
54	0.01264415	0.01196491	0.01148379	0.01085035	0.00955351	0.00404788	0.00012928
55	0.01381240	0.01295728	0.01249103	0.01054576	0.00919188	0.00363809	0.00060055
56	0.01149514	0.01095219	0.01057849	0.00995616	0.00883324	0.00376229	0.00037335
57	0.01356218	0.01274031	0.01220440	0.01173312	0.01033601	0.00382453	0.00021082
58	0.01285488	0.01226319	0.01187554	0.01118361	0.00986626	0.00388420	0.00030268
59	0.01233424	0.01170638	0.01127679	0.01054588	0.00917728	0.00137314	0.00000000
60	0.01024408	0.00973329	0.00936961	0.00889585	0.00767444	0.00192281	0.00005598
61	0.01078467	0.01016400	0.00984455	0.00928330	0.00821210	0.00291311	0.00018451
62	0.01228641	0.01159733	0.01124331	0.01042242	0.00910452	0.00132479	0.00000000
63	0.00927772	0.00880188	0.00857374	0.00792610	0.00679240	0.00040273	0.00000000
64	0.00646050	0.00615162	0.00600252	0.00564763	0.00482734	0.00027161	0.00000000
65	0.00775541	0.00739869	0.00716795	0.00680405	0.00597709	0.00077639	0.00000000
66	0.00502953	0.00473174	0.00461195	0.00421956	0.00354178	0.00000739	0.00000000
67	0.00626973	0.00596295	0.00581934	0.00544310	0.00460382	0.00022657	0.00000000
68	0.00494744	0.00471920	0.00458469	0.00435762	0.00375219	0.00023688	0.00000000
69	0.00351803	0.00332526	0.00321806	0.00296512	0.00001194	0.00000544	0.00000000
70	0.00297186	0.00280884	0.00270714	0.00182997	0.00000396	0.00000000	0.00000000
71	0.00409378	0.00387177	0.00374811	0.00283091	0.00002836	0.00001754	0.00000752
72	0.00210038	0.00198410	0.00191149	0.00146914	0.00001822	0.00000569	0.00000347
73	0.00257802	0.00243385	0.00235230	0.00213984	0.00001932	0.00000403	0.00000000
74	0.00257192	0.00242815	0.00234616	0.00213493	0.00001416	0.00000000	0.00000000
75	0.00356953	0.00337642	0.00329106	0.00299305	0.00004781	0.00004640	0.00001979
76	0.00023826	0.00022515	0.00021442	0.00018962	0.00000194	0.00000000	0.00000000
77	0.00207030	0.00200677	0.00157500	0.00058026	0.00000000	0.00000000	0.00000000
78	0.00142830	0.00134092	0.00129440	0.00115918	0.00002203	0.00000028	0.00000000
79	0.00251565	0.00237187	0.00229406	0.00203470	0.00003494	0.00000016	0.00000000
80	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
81	0.00325174	0.00267050	0.00236049	0.00092386	0.00024523	0.00009759	0.00000000
82	0.00494168	0.00424099	0.00427828	0.00333236	0.00086585	0.00000940	0.00000237
83	0.00202460	0.00179219	0.00168816	0.00149299	0.00027156	0.00012104	0.00005695
84	0.00209776	0.00191041	0.00177385	0.00172328	0.00027969	0.00010457	0.00004660
85	0.00128814	0.00099374	0.00099615	0.00002886	0.00000000	0.00000000	0.00000000
86	0.00405714	0.00370979	0.00348880	0.00325412	0.00058248	0.00007299	0.00003495
87	0.00701802	0.00652877	0.00634741	0.00120819	0.00000000	0.00000000	0.00000000
88	0.00476793	0.00445223	0.00428514	0.00131031	0.00064662	0.00044730	0.00033534
89	0.01082845	0.01024340	0.00965444	0.00927688	0.00767152	0.00349530	0.00008036
90	0.00885108	0.00831304	0.00789732	0.00753833	0.00635579	0.00275721	0.00005411
91	0.00690520	0.00643935	0.00622679	0.00154950	0.00010427	0.00000000	0.00000000
92	0.00839171	0.00780402	0.00753744	0.00208367	0.00099944	0.00000000	0.00000000
93	0.00885343	0.00837123	0.00781690	0.00768240	0.00638973	0.00333913	0.00159498
94	0.00638584	0.00599165	0.00576430	0.00388450	0.00223496	0.00171546	0.00148283
95	0.00606289	0.00575027	0.00546902	0.00468554	0.00401169	0.00229547	0.00153990
96	0.00683035	0.00632009	0.00565967	0.00581310	0.00441875	0.00255603	0.00171637
97	0.00554670	0.00522962	0.00503831	0.00374744	0.00321791	0.00191360	0.00142368
