Z	walk_base	walk_1ft	walk_2ft	walk_3ft	walk_4ft	walk_5ft	walk_6ft
1	0.00475967	0.00432964	0.00422380	0.00416202	0.00372586	0.00072436	0.00000000
2	0.00766288	0.00721686	0.00702298	0.00691159	0.00638461	0.00096168	0.00000000
3	0.00491293	0.00468256	0.00456153	0.00448456	0.00408689	0.00102757	0.00025912
4	0.00583237	0.00560859	0.00543437	0.00533678	0.00424021	0.00122796	0.00034785
5	0.00658031	0.00642304	0.00620168	0.00614975	0.00303945	0.00000000	0.00000000
6	0.01015294	0.00998279	0.00955340	0.00948069	0.00334119	0.00000000	0.00000000
7	0.00000008	0.00000007	0.00000007	0.00000007	0.00000003	0.00000000	0.00000000
8	0.00851334	0.00838592	0.00720436	0.00715437	0.00621351	0.00385984	0.00100939
9	0.01014181	0.00996315	0.00939822	0.00934152	0.00890884	0.00235795	0.00000000
10	0.00883993	0.00832245	0.00787929	0.00783101	0.00746915	0.00103982	0.00000000
11	0.00598702	0.00576410	0.00566952	0.00552408	0.00505856	0.00272308	0.00211563
12	0.00821852	0.00684604	0.00665297	0.00638944	0.00585098	0.00167813	0.00000000
13	0.00682342	0.00630541	0.00616827	0.00368272	0.00000000	0.00000000	0.00000000
14	0.00767474	0.00700591	0.00685208	0.00656072	0.00609059	0.00389364	0.00282720
15	0.00841975	0.00779305	0.00760938	0.00733354	0.00683161	0.00449366	0.00372394
16	0.00997993	0.00949996	0.00926631	0.00908920	0.00850073	0.00524187	0.00453506
17	0.01305864	0.01276648	0.01241926	0.01231186	0.01124858	0.00283083	0.00000000
18	0.01294467	0.01256522	0.01222006	0.01206675	0.01112312	0.00608365	0.00529618
19	0.00754605	0.00716667	0.00699662	0.00683069	0.00642653	0.00476073	0.00406108
20	0.01160569	0.01116217	0.01094015	0.01076018	0.01021183	0.00812060	0.00723580
21	0.01319416	0.01279811	0.01250665	0.01234612	0.01166640	0.00947497	0.00847475
22	0.01398167	0.01368565	0.01333352	0.01321062	0.01235456	0.01014995	0.00914051
23	0.01426996	0.01393979	0.01359381	0.01345760	0.01263787	0.01023122	0.00914701
24	0.01272243	0.01247831	0.01213607	0.01203481	0.00846431	0.00122414	0.00000000
25	0.01283935	0.01259290	0.01216415	0.01206109	0.00731145	0.00000000	0.00000000
26	0.01515410	0.01492251	0.01432191	0.01422844	0.01244485	0.00939773	0.00820143
27	0.01271957	0.01252198	0.01190348	0.01182477	0.01049416	0.00815386	0.00723266
28	0.01661620	0.01634924	0.01587096	0.01576578	0.01433404	0.01113786	0.01001321
29	0.01647564	0.01622480	0.01571479	0.01561589	0.01417686	0.01101013	0.00983789
30	0.01620241	0.01596585	0.01540099	0.01530673	0.01397843	0.01094328	0.00972409
31	0.01480234	0.01458573	0.01380395	0.01372202	0.01287281	0.01024519	0.00883182
32	0.01308895	0.01289584	0.01202124	0.01195372	0.01129071	0.00860280	0.00698641
33	0.01503227	0.01477714	0.01434952	0.01424448	0.01340572	0.01084624	0.00971061
34	0.01207614	0.01188652	0.01126371	0.01119298	0.01061636	0.00770321	0.00636228
35	0.01401962	0.01377404	0.01335906	0.01326531	0.01270216	0.00983232	0.00850816
36	0.00908407	0.00876001	0.00855797	0.00839281	0.00795868	0.00584855	0.00488821
37	0.01134222	0.01104689	0.01082204	0.01070484	0.01014972	0.00782966	0.00675813
38	0.00959526	0.00929527	0.00903038	0.00887229	0.00857585	0.00556253	0.00331174
39	0.00929350	0.00902643	0.00882533	0.00863138	0.00831569	0.00285570	0.00000000
40	0.00978181	0.00953690	0.00932947	0.00916631	0.00882735	0.00419265	0.00190102
41	0.01014686	0.00993238	0.00966073	0.00958939	0.00919206	0.00387771	0.00000000
42	0.00891089	0.00867236	0.00849810	0.00842315	0.00807576	0.00286116	0.00135992
43	0.00555444	0.00434021	0.00232040	0.00000000	0.00000000	0.00000000	0.00000000
44	0.00649418	0.00417661	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
45	0.00516281	0.00462394	0.00353320	0.00298962	0.00115713	0.00000000	0.00000000
46	0.00939542	0.00897740	0.00856880	0.00834165	0.00798770	0.00436592	0.00068308
47	0.00805623	0.00753129	0.00721012	0.00690212	0.00653309	0.00292217	0.00014100
48	0.00565152	0.00518343	0.00492879	0.00441315	0.00253941	0.00000000	0.00000000
49	0.00548406	0.00503010	0.00481790	0.00414282	0.00364155	0.00145836	0.00000000
50	0.00949468	0.00920996	0.00894018	0.00878402	0.00850735	0.00531388	0.00314165
51	0.01019917	0.00985026	0.00961061	0.00940054	0.00903941	0.00270386	0.00000000
52	0.00841298	0.00805109	0.00782628	0.00760379	0.00724183	0.00421705	0.00018407
