O,D,DIFF
11,201,-54
11,213,-53
11,214,-52
11,215,-131
11,316,-56
11,318,-110
12,215,-64
12,318,-53
21,215,-59
21,318,-57
25,215,-86
25,318,-73
29,215,-51
31,215,-53
34,215,-115
34,316,-55
34,318,-100
69,215,-56
70,201,-66
70,215,-89
70,318,-50
71,201,-64
71,215,-103
73,201,-62
73,215,-97
77,201,-81
77,213,-55
77,214,-63
77,215,-127
77,316,-65
77,318,-77
77,424,-59
77,708,-78
77,713,-62
77,722,-55
77,728,-55
77,736,-64
77,739,-64
77,743,-51
77,961,-55
77,966,-52
77,985,-95
78,201,-93
78,214,-55
78,215,-122
79,201,-140
79,213,-86
79,214,-76
79,215,-172
95,215,-57
95,424,-73
95,438,-64
143,215,-77
143,318,-61
143,424,-59
163,424,-51
164,424,-63
172,424,-102
177,424,-148
177,438,-59
178,424,-82
178,961,-61
178,966,-51
201,11,-53
201,70,-65
201,71,-64
201,73,-62
201,77,-81
201,78,-93
201,79,-140
201,202,-1537
201,203,-288
201,206,-68
201,209,-109
201,210,-108
201,212,-52
201,215,-98
201,261,-63
202,201,-1548
202,213,-150
202,214,-150
202,215,-311
202,302,-56
202,316,-102
202,318,-115
203,201,-288
203,213,-101
203,214,-91
203,215,-170
204,215,-109
206,201,-68
206,213,-60
206,214,-68
206,215,-160
206,316,-70
206,318,-115
209,201,-109
209,213,-90
209,214,-72
209,215,-165
210,201,-108
210,213,-181
210,214,-205
210,215,-370
210,316,-81
210,318,-82
211,213,-135
211,214,-161
211,215,-345
211,316,-65
211,318,-62
212,201,-52
212,213,-100
212,214,-163
212,215,-347
212,316,-66
212,318,-87
213,11,-53
213,77,-54
213,79,-86
213,202,-149
213,203,-101
213,206,-60
213,209,-90
213,210,-181
213,211,-135
213,212,-100
213,214,-218
213,215,-292
213,223,-89
213,261,-63
213,302,-50
213,303,-150
213,304,-74
213,305,-60
213,306,-58
213,307,-105
213,308,-84
213,309,-54
213,312,-56
213,313,-54
213,317,-66
213,318,-55
213,320,-54
213,321,-93
213,442,-62
213,443,-85
214,11,-51
214,77,-63
214,78,-55
214,79,-76
214,202,-149
214,203,-91
214,206,-68
214,209,-72
214,210,-204
214,211,-161
214,212,-163
214,213,-218
214,215,-503
214,223,-116
214,224,-67
214,228,-53
214,229,-52
214,261,-62
214,303,-83
214,307,-72
214,316,-83
214,318,-87
214,319,-62
214,320,-73
214,321,-131
214,443,-57
215,11,-130
215,12,-63
215,21,-58
215,25,-85
215,29,-50
215,31,-53
215,34,-114
215,69,-56
215,70,-88
215,71,-103
215,73,-97
215,77,-127
215,78,-122
215,79,-172
215,95,-57
215,143,-76
215,201,-98
215,202,-309
215,203,-171
215,204,-109
215,206,-160
215,209,-165
215,210,-370
215,211,-346
215,212,-347
215,213,-293
215,214,-504
215,216,-76
215,219,-50
215,223,-397
215,224,-195
215,226,-56
215,227,-75
215,228,-163
215,229,-152
215,230,-136
215,232,-107
215,236,-82
215,257,-52
215,260,-54
215,261,-157
215,263,-61
215,265,-65
215,302,-86
215,303,-204
215,304,-144
215,305,-109
215,306,-161
215,307,-246
215,308,-195
215,309,-126
215,310,-110
215,311,-196
215,312,-204
215,313,-154
215,314,-125
215,315,-130
215,316,-434
215,317,-222
215,318,-428
215,319,-193
215,320,-219
215,321,-349
215,322,-74
215,323,-113
215,324,-111
215,325,-109
215,326,-63
215,327,-100
215,328,-61
215,442,-109
215,443,-194
215,444,-88
215,445,-53
215,448,-56
215,449,-126
215,450,-118
215,467,-108
215,469,-73
215,470,-67
215,472,-88
215,473,-63
215,474,-62
215,476,-59
215,484,-55
215,489,-62
216,215,-77
216,318,-63
219,215,-51
223,213,-89
223,214,-116
223,215,-396
223,316,-116
223,318,-212
224,214,-67
224,215,-195
224,316,-59
224,318,-124
226,215,-56
227,215,-75
227,318,-54
228,214,-53
228,215,-163
228,318,-93
229,214,-52
229,215,-153
229,316,-67
229,318,-116
230,215,-137
230,316,-60
230,318,-113
232,215,-107
232,318,-74
236,215,-82
236,318,-63
253,289,-51
257,215,-52
260,215,-54
261,201,-64
261,213,-64
261,214,-63
261,215,-157
261,316,-68
261,318,-130
263,215,-61
263,318,-54
265,215,-66
265,318,-56
289,253,-52
289,355,-51
289,356,-65
289,357,-73
289,358,-60
289,359,-60
289,360,-79
289,361,-71
289,367,-52
302,202,-56
302,215,-85
302,303,-195
302,304,-144
302,305,-58
302,307,-159
302,308,-164
302,309,-72
302,313,-76
302,317,-61
302,320,-59
302,442,-57
302,443,-89
302,449,-74
303,213,-151
303,214,-84
303,215,-206
303,302,-197
303,316,-169
303,318,-204
304,213,-74
304,215,-143
304,302,-145
304,316,-85
304,318,-96
305,213,-59
305,215,-108
305,302,-58
305,316,-60
305,318,-62
306,213,-58
306,215,-161
306,316,-127
306,318,-135
307,213,-105
307,214,-72
307,215,-246
307,302,-160
307,316,-209
307,318,-205
308,213,-84
308,215,-196
308,302,-165
308,316,-136
308,318,-159
309,213,-54
309,215,-126
309,302,-73
309,316,-81
309,318,-85
310,215,-109
310,316,-56
310,318,-64
311,215,-196
311,316,-148
311,318,-139
312,213,-56
312,215,-203
312,316,-175
312,318,-159
313,213,-55
313,215,-154
313,302,-77
313,316,-113
313,318,-119
314,215,-125
314,316,-86
314,318,-90
315,215,-130
315,316,-79
315,318,-78
316,11,-56
316,34,-55
316,77,-65
316,202,-101
316,206,-70
316,210,-81
316,211,-65
316,212,-66
316,214,-82
316,215,-432
316,223,-116
316,224,-59
316,229,-67
316,230,-59
316,261,-68
316,303,-168
316,304,-85
316,305,-60
316,306,-126
316,307,-209
316,308,-136
316,309,-81
316,310,-57
316,311,-148
316,312,-175
316,313,-113
316,314,-86
316,315,-79
316,317,-168
316,318,-459
316,319,-229
316,320,-281
316,321,-286
316,322,-56
316,323,-54
316,325,-74
316,327,-69
316,442,-64
316,443,-102
316,449,-102
316,450,-71
316,467,-69
316,469,-63
316,470,-56
316,472,-56
317,213,-66
317,215,-221
317,302,-62
317,316,-167
317,318,-168
318,11,-110
318,12,-52
318,21,-57
318,25,-73
318,34,-99
318,77,-77
318,143,-61
318,202,-114
318,206,-115
318,210,-82
318,211,-62
318,212,-87
318,213,-55
318,214,-87
318,215,-427
318,216,-63
318,223,-212
318,224,-123
318,227,-54
318,228,-93
318,229,-116
318,230,-112
318,232,-73
318,236,-62
318,261,-130
318,263,-53
318,265,-56
318,303,-203
318,304,-96
318,305,-62
318,306,-135
318,307,-204
318,308,-158
318,309,-85
318,310,-64
318,311,-139
318,312,-159
318,313,-119
318,314,-90
318,315,-78
318,316,-460
318,317,-169
318,319,-369
318,320,-349
318,321,-399
318,322,-79
318,323,-88
318,324,-91
318,325,-119
318,326,-65
318,327,-91
318,328,-56
318,442,-71
318,443,-127
318,444,-54
318,449,-105
318,450,-80
318,467,-98
318,469,-66
318,470,-59
318,472,-80
318,473,-51
318,476,-65
318,484,-54
318,489,-53
319,214,-62
319,215,-193
319,316,-229
319,318,-370
320,213,-54
320,214,-73
320,215,-220
320,302,-59
320,316,-282
320,318,-351
321,213,-93
321,214,-132
321,215,-351
321,316,-289
321,318,-403
322,215,-74
322,316,-56
322,318,-80
323,215,-113
323,316,-54
323,318,-89
324,215,-111
324,318,-91
325,215,-110
325,316,-75
325,318,-120
326,215,-64
326,318,-65
327,215,-100
327,316,-69
327,318,-91
328,215,-61
328,318,-57
328,730,-64
355,289,-51
356,289,-65
357,289,-72
358,289,-60
359,289,-60
360,289,-79
361,289,-71
367,289,-51
421,424,-64
422,424,-124
422,438,-59
422,961,-58
423,438,-71
423,708,-53
423,722,-53
423,961,-95
423,966,-83
423,969,-72
424,77,-59
424,95,-72
424,143,-59
424,163,-51
424,164,-63
424,172,-102
424,177,-147
424,178,-82
424,421,-64
424,422,-124
424,425,-240
424,426,-580
424,427,-226
424,428,-106
424,429,-106
424,430,-229
424,432,-57
424,433,-66
424,434,-60
424,435,-60
424,436,-85
424,437,-130
424,438,-123
424,439,-68
424,440,-89
424,441,-110
424,708,-76
424,709,-91
424,713,-63
425,424,-241
425,438,-156
425,708,-123
425,713,-100
425,961,-86
425,966,-69
426,424,-580
426,438,-185
426,708,-93
426,713,-78
427,424,-227
427,438,-182
427,708,-118
427,713,-97
427,961,-75
427,966,-64
428,424,-106
428,438,-62
429,424,-106
429,438,-111
429,708,-56
430,424,-228
430,438,-133
430,708,-68
430,713,-61
432,424,-57
432,438,-91
432,708,-61
432,713,-52
432,961,-52
433,424,-66
433,438,-104
433,708,-58
434,424,-60
434,438,-96
435,424,-61
435,438,-232
435,708,-126
435,713,-102
435,961,-57
435,966,-50
436,424,-85
436,438,-230
436,708,-134
436,713,-105
436,961,-56
437,424,-130
437,438,-269
437,708,-82
437,713,-68
438,95,-64
438,177,-59
438,422,-59
438,423,-70
438,424,-122
438,425,-155
438,426,-183
438,427,-180
438,428,-62
438,429,-110
438,430,-132
438,432,-90
438,433,-103
438,434,-96
438,435,-230
438,436,-228
438,437,-267
438,439,-145
438,440,-116
438,441,-249
438,687,-68
438,688,-143
438,709,-69
439,424,-68
439,438,-146
439,708,-107
439,713,-88
439,722,-105
439,961,-146
439,963,-94
439,966,-116
439,969,-125
439,971,-91
440,424,-89
440,438,-117
440,708,-100
440,713,-83
440,961,-50
441,424,-110
441,438,-251
441,708,-307
441,713,-265
442,213,-62
442,215,-109
442,302,-57
442,316,-64
442,318,-71
443,213,-85
443,214,-56
443,215,-194
443,302,-90
443,316,-102
443,318,-127
444,215,-88
444,318,-54
445,215,-52
448,215,-56
449,215,-126
449,302,-75
449,316,-102
449,318,-106
449,730,-67
450,215,-118
450,316,-71
450,318,-80
453,730,-73
457,730,-84
458,730,-112
458,739,-59
459,730,-137
459,736,-55
459,738,-55
459,739,-75
460,730,-124
460,736,-53
460,738,-56
460,739,-56
461,730,-261
461,736,-109
461,737,-75
461,738,-100
461,739,-113
462,730,-93
462,738,-52
462,739,-74
463,730,-262
463,736,-110
463,737,-74
463,738,-97
463,739,-171
464,730,-379
464,731,-62
464,733,-59
464,734,-67
464,735,-56
464,736,-138
464,737,-95
464,738,-151
464,739,-143
465,730,-118
465,738,-120
465,739,-243
466,730,-150
466,736,-70
466,738,-486
466,739,-1120
466,741,-160
466,743,-122
467,215,-108
467,316,-69
467,318,-98
467,730,-52
469,215,-73
469,316,-63
469,318,-66
470,215,-67
470,316,-56
470,318,-59
472,215,-88
472,316,-56
472,318,-80
472,730,-92
472,739,-52
473,215,-63
473,318,-51
474,215,-62
476,215,-60
476,318,-66
476,730,-220
476,736,-92
476,738,-73
476,739,-90
480,730,-67
481,730,-158
481,736,-59
481,739,-69
483,730,-71
484,215,-55
484,318,-54
484,730,-90
484,739,-83
485,730,-50
486,730,-95
487,730,-132
487,736,-52
487,739,-64
488,730,-65
488,739,-66
489,215,-62
489,318,-53
489,730,-53
489,739,-90
490,738,-56
490,739,-271
490,741,-72
490,743,-104
491,739,-89
670,985,-95
681,985,-70
684,985,-120
685,971,-52
685,985,-120
686,961,-52
687,438,-68
687,708,-72
687,713,-53
687,722,-60
687,961,-77
687,966,-70
687,969,-65
688,438,-144
688,708,-113
688,713,-86
688,722,-64
688,961,-82
688,966,-71
688,969,-66
693,961,-53
693,966,-51
694,961,-55
696,708,-52
696,961,-58
696,966,-51
697,708,-194
697,713,-193
698,708,-104
698,713,-97
699,708,-113
699,713,-97
700,708,-119
700,713,-111
701,708,-97
701,713,-81
701,722,-76
701,728,-55
701,961,-114
701,962,-72
701,963,-97
701,964,-104
701,966,-95
701,969,-80
701,971,-67
702,708,-98
702,713,-93
703,708,-59
703,713,-50
703,722,-58
703,961,-80
703,963,-68
703,964,-70
703,966,-72
703,969,-56
704,708,-271
704,713,-217
704,722,-105
704,728,-57
704,961,-125
704,962,-80
704,963,-110
704,964,-103
704,966,-121
704,969,-94
704,971,-83
704,985,-55
706,708,-69
706,713,-53
706,722,-70
706,961,-81
706,963,-68
706,966,-79
706,969,-53
707,722,-55
707,961,-68
707,963,-53
707,964,-57
707,966,-72
708,77,-78
708,423,-53
708,424,-75
708,425,-123
708,426,-92
708,427,-117
708,429,-56
708,430,-68
708,432,-60
708,433,-58
708,435,-126
708,436,-133
708,437,-81
708,439,-107
708,440,-100
708,441,-305
708,687,-71
708,688,-112
708,696,-51
708,697,-193
708,698,-104
708,699,-112
708,700,-118
708,701,-96
708,702,-98
708,703,-58
708,704,-269
708,706,-69
708,709,-1296
708,710,-660
708,711,-264
708,712,-398
708,717,-103
708,721,-65
708,723,-260
708,726,-186
708,727,-292
709,424,-91
709,438,-70
709,708,-1305
709,713,-1119
709,722,-54
709,728,-80
709,961,-60
709,966,-59
710,708,-663
710,713,-602
711,708,-266
711,713,-251
711,722,-173
711,728,-140
711,961,-239
711,962,-174
711,963,-175
711,964,-228
711,966,-210
711,969,-157
711,970,-73
711,971,-127
711,975,-53
711,985,-192
712,708,-400
712,713,-462
712,722,-62
712,961,-70
712,963,-57
712,964,-55
712,966,-76
713,77,-62
713,424,-63
713,425,-99
713,426,-77
713,427,-96
713,430,-61
713,432,-52
713,435,-101
713,436,-104
713,437,-67
713,439,-87
713,440,-83
713,441,-264
713,687,-53
713,688,-85
713,697,-193
713,698,-97
713,699,-97
713,700,-110
713,701,-80
713,702,-92
713,703,-50
713,704,-217
713,706,-53
713,709,-1113
713,710,-600
713,711,-249
713,712,-461
713,717,-93
713,721,-54
713,723,-241
713,726,-313
713,727,-489
713,728,-61
714,966,-54
714,985,-80
715,985,-86
717,708,-103
717,713,-94
717,722,-130
717,728,-89
717,961,-160
717,962,-108
717,963,-119
717,964,-141
717,966,-160
717,969,-97
717,970,-51
717,971,-84
717,985,-128
718,966,-57
720,722,-88
720,728,-56
720,961,-101
720,962,-61
720,963,-69
720,964,-78
720,966,-120
720,969,-57
720,985,-70
721,708,-66
721,713,-54
721,722,-759
721,728,-184
721,961,-402
721,962,-222
721,963,-234
721,964,-241
721,966,-408
721,969,-214
721,970,-97
721,971,-146
721,975,-62
721,985,-234
722,77,-55
722,423,-53
722,439,-105
722,687,-60
722,688,-63
722,701,-75
722,703,-58
722,704,-105
722,706,-70
722,707,-55
722,709,-54
722,711,-172
722,712,-62
722,717,-130
722,720,-88
722,721,-753
722,723,-234
722,724,-83
722,725,-118
722,728,-53
722,961,-475
722,962,-222
722,963,-261
722,964,-236
722,966,-1693
722,967,-61
722,968,-69
722,969,-243
722,970,-123
722,971,-199
722,972,-81
722,974,-105
722,975,-86
722,976,-76
722,979,-118
722,980,-68
722,982,-75
722,983,-84
722,984,-82
722,985,-294
723,708,-261
723,713,-242
723,722,-235
723,728,-189
723,961,-322
723,962,-240
723,963,-240
723,964,-322
723,966,-280
723,969,-234
723,970,-99
723,971,-185
723,975,-78
723,985,-278
724,722,-83
