"Blue_3","1_1","27_1","47.79999924_1","73_1","94_1","117.5_1","238_1","505_1"
Orange_3,4_1,28_1,50_1,74_1,95_1,119.0999985_1,240_1,553_1
Red_3,5_1,29_1,51_1,75_1,96_1,120_1,350.3999939_1,554_1
Green_4,7.0999999_1,30.20000076_1,52_1,76.30000305_1,97.5_1,131.3999939_1,354_1,CT2 _1
Attleboro_5,8_1,31_1,55.09999847_1,77_1,99.69999695_1,132_1,411.7999878_1,LoganCirc _2
Fairmount_5,9_1,32_1,57_1,78.09999847_1,100_1,134.6000061_1,426_1,SILVER_2
Fitchburg_5,11_1,33.40000153_1,59_1,79_1,100.3000031_1,136.5_1,429_1,SL1_2
Framingham_5,14_1,34_1,60_1,80_1,101_1,137.3000031_1,430.5_1,NA_0
Franklin_5,15_1,35.09999847_1,62.40000153_1,83_1,101.4000015_1,210.3000031_1,435_1,NA_0
Haverhill_5,16.20000076_1,36_1,64.59999847_1,85_1,104_1,211_1,436_1,NA_0
Kingston_5,17_1,37.29999924_1,65_1,86_1,105.0999985_1,214_1,441_1,NA_0
Lowell_5,18_1,39_1,66_1,87_1,106_1,215.1000061_1,442_1,NA_0
Middleboro _5,19_1,40.5_1,67.40000153_1,88_1,108.0999985_1,216_1,450_1,NA_0
Needham_5,20_1,41_1,68_1,89_1,109_1,220.3000031_1,455_1,NA_0
Newburyport_5,21_1,42_1,69_1,90_1,110_1,222_1,459_1,NA_0
Plymouth_5,22_1,43_1,70_1,91_1,111_1,225_1,501_1,NA_0
Rockport_5,23_1,44.09999847_1,71_1,92_1,114_1,230.3000031_1,502_1,NA_0
Stoughton_5,24_1,45.09999847_1,72_1,93.19999695_1,116.4000015_1,236.199997_1,504_1,NA_0
